urun_adi,csv_kategori,siklik,alt_tipler
TEREM YAG KASE 500 GR,SÜT KAHVALTILIK,313,
ANKARA MAKARNA YUKSUK 500GR,GIDA,312,
ARBELLA FIYONK MAKARNA 500GR,GIDA,311,
FAIRY SIVI BULASIK DETERJANI 750 ML ELMA,DETERJAN TEMİZLİK,310,
HEKIMOGLU UN 2KG,GIDA,310,
ETI PIZZA KRAKER 30 GR,GIDA,309,bufe
NOGAY YAGLI SELE 1,SÜT KAHVALTILIK,306,
ETI TOP KEK FINDIKLIKAKAOLU 35 GR,GIDA,306,
CEVIZ LUX ICI,GIDA,305,kuruyemisci
ETI KOMBO 56 GR,GIDA,304,
SULTAN BUYUK TAM BUGDAY EKMEGI,GIDA,304,
PINAR SOLEN MACAR SALAM,ET TAVUK,303,kasap
"ULUDAG GAZOZ 2,5 LT.EKO BOY SA",İÇECEK,300,bufe
FALIM SAKIZ 5LI DAMLA,GIDA,298,sekerci
FALIM SAKIZ 5LI CILEK,GIDA,297,sekerci
F SAFF HAVLU KAGIDI 12 LI,KAĞIT,297,
YORSAN KAYMAK 200GR,SÜT KAHVALTILIK,297,
DR.OETKER CIKOLATA SOSU 128 GR.,GIDA,296,sekerci
SUTAS BEYAZ PEYNIR 500GR PRATIK,SÜT KAHVALTILIK,296,
ETI SUSAMLI CUBUK KRAKER 45GR,GIDA,296,bufe
ETI POP KEK CIKOLATA KAPLAMA 50 GR.,GIDA,295,sekerci
PINAR AC BITIR SUCUK90 GR.,ET TAVUK,294,kasap
ULKER HOBBY 400 GR KAKAOLU FIND.,SÜT KAHVALTILIK,293,
ETI PUF HINDISTAN CVZ 18 GR.,GIDA,293,
CHEETOS FIRINDA FISTIKLI 44 GR.,GIDA,292,bufe
DR.OETKER K.TOZU 15LI POSET,GIDA,292,
DR.OETKER VANILYA 5LI POSET,GIDA,292,
DR.OETKER KAKAO 2*25GR.,GIDA,291,
ETI MAXIMUS SUTLU YER FIS. NUGA BAR 40 GR,GIDA,291,
SANA PAKET MARGARIN 250GR.,SÜT KAHVALTILIK,290,
ETI GONG MISIR VE PIRINC PATLAGI 64 GR,GIDA,290,
FILIZ TEL SEHRIYE 500 GR,GIDA,290,
FILIZ IRMIK 500 GR,GIDA,289,
RUFFLES ORGINAL132 GR,GIDA,288,
SULTAN KEPEKLI EKMEK,GIDA,288,firin
SUTAS GUNLUK SUT 1 LT ŞİŞE,SÜT KAHVALTILIK,287,
ONCU DOMATES SALCASI 1900GR,GIDA,287,
NESTLE CRUNCH PAT 44 GR,GIDA,287,
BESLER PILIC KOKTEYL SOSIS 280GR,ET TAVUK,286,kasap
SUTAS SUT 200 ML,SÜT KAHVALTILIK,286,
SUTAS BEYAZ PEYNIR 1KG PLAS.,SÜT KAHVALTILIK,286,
ETI CAY KEYFI KAKAOLU 82 GR,GIDA,285,
ETI BROWNI KEK CIKOLATALI FINDIKLI,GIDA,285,sekerci
ULKER CARAMIO CIKOLATA 40GR,GIDA,285,sekerci
SUTAS YOGURT 1250 GR KAYMAKLI,SÜT KAHVALTILIK,284,
KARTAL MAKARNA BURGU 500GR,GIDA,284,
SANA HAMURISI MARGARIN 250 GR,SÜT KAHVALTILIK,283,
ANTEP FISTIGI,GIDA,283,
SULTAN KEPEKLI KOY EKMEGI,GIDA,283,
AROMA M.SUYU 200ML SEFTALI,İÇECEK,283,
CAYKUR TOMURCUK EARL GREY 125G,İÇECEK,282,
SINANGIL UN 1 KG.,GIDA,282,
PINAR KIDO KAKAOLU SUT 200 ML,SÜT KAHVALTILIK,282,
SUTAS KAKAOLU SUT 200 ML,SÜT KAHVALTILIK,282,
ULKER 40GR A.FISTIK CIKOLATA,GIDA,282,sekerci
WINNER SLIMS,SİGARA,280,
SEK SADE SUT 200 ML.,SÜT KAHVALTILIK,280,
F KALITEM IC FINDIK 700 GR,GIDA,279,kuruyemisci
ETI HOSBES GOFRET FINDIKLI 40GR,GIDA,279,sekerci
SINANGIL UN 2 KG.,GIDA,279,
ETI YULAFLI BISKUVI 133 GR,GIDA,277,
ULKER IKRAM 101 KAKAO/FINDIK 100GR,GIDA,277,
ULKER HOBBY SUTLU KOKOLIN KAP. 32 GR,GIDA,276,
ETI POP KEK MUZLU 50 GR.,GIDA,275,
SENPILIC KALCALI BUT,ET TAVUK,273,kasap
ETI 80GR ANTEP FIST.CIKOLATA KARE,GIDA,273,sekerci
ETI POP KEK CIKOLATALI 90 GR.,GIDA,270,sekerci
ULKER SUSAMLI CUBUK KRAKER 150,GIDA,270,bufe
ASURELIK BUGDAY,GIDA,269,
ULKER KEKSTRA 35GR.CILEK,GIDA,268,
CAFE CROWN 2IN1 SEKERSIZ,İÇECEK,268,
DOMESTOS ULTRA 810ML KAR BEYAZI,DETERJAN TEMİZLİK,268,
ETI BROWNI INTENSE MINI POŞET VISNE,GIDA,267,
ULKER BISKREM KAKAOLU RULO,GIDA,267,
BADEM,GIDA,267,kuruyemisci
ARBELLA ARPA SEHRIYE MAKARNA 500GR,GIDA,267,
PINAR MANGAL SUCUK,ET TAVUK,267,kasap
DR.OETKER KREM SANTI SADE 150GR,GIDA,266,
SARI LEBLEBI,GIDA,264,kuruyemisci
DANA ANTRIKOT,ET TAVUK,264,kasap
KOMILI ISLAK TEMIZLIK HAVLUSU 90 'LI %30 BED,KAĞIT,263,
ETI CIN JOLELI BISKUVI PORTAKAL,GIDA,261,
PASAKOY YOGURT 1000GR,SÜT KAHVALTILIK,261,
ETI 80 GR KARAM BITTER,GIDA,260,
CHESTERFIELD NAVY LINE,SİGARA,260,
PERMATIK BANYO BICAGI,KOZMETİK,259,
ETI FORM 45 GR,GIDA,259,
F SAFF ÇÖP POŞETİ ORTA BOY,EV,258,
ARBELLA SPAGHETTI MAKARNA 500GR,GIDA,258,
KEBIR TAZE KASAR 400 GR,SÜT KAHVALTILIK,257,
SENPILIC CIGER,ET TAVUK,257,kasap
YORSAN EV TIPI 2 KG YOGURT,SÜT KAHVALTILIK,256,
ETI HOSBES GOFRET KAKAOLU 40GR,GIDA,256,sekerci
