is_kolu,isim,osm_id
restoran,Samatya coftecesi,5111215769
restoran,Fasuli,5111215770
restoran,Durmce,5111215774
restoran,Giger kepeb,5111215777
restoran,Serkan Büfe,5112723912
restoran,Destina Çiğ Köfte,5112725522
restoran,Osmanlı Tulumbacısı ve Baklava,5112725534
restoran,Sirri Usta Çigköfte,5112725535
restoran,Dürümcü Kerem,5112725536
restoran,Volkan Köfte ve Döner Salonu,5112725537
restoran,Pashaa Kokoreç,5112725539
restoran,Tubaz Odunlu Taş fırını,5112725544
restoran,Mevzubahis Çiğköfte,5112725572
restoran,Meşhur Çiğköfteci Hasan Usta,5112725580
restoran,Antep Sofrası,5112725594
restoran,Aşkla Pasta Cafe,5112725608
restoran,Hazal Döner,5113125300
restoran,Ömer Usta Çiğköfteci,5113125304
restoran,Seyran Pastanesi,5113125306
restoran,Dilek Pastanesi,5113125308
restoran,Hazal Pide Ve Börek Salonu,5113125921
restoran,Doy Doy Çiğ Köfte,5113125924
restoran,Sarıyer Börekçisi,5113125929
restoran,Namlı Pastırma ve Peynir,5113125939
restoran,İmamoğlu Kebap ve Lahmacun Salonu,5113125951
restoran,Çorbacı Alaaddin Ustanın Yeri,5113126654
restoran,Patso King,5113126660
restoran,Merve Pastaneleri,5113126672
restoran,Kokoreçcim,5113126673
restoran,Öz Antep Tatlıcısı,5113126682
restoran,Etibeyaz,5113126686
restoran,Kirik Çatal Lokantasi,5113126687
restoran,Osmanlı Tulumba Baklava,5113126689
restoran,Paşa Balık,5113126690
restoran,Bağdatlım,5113126702
restoran,Rumeli Köfte Ve Yemek Salonu,5113126710
restoran,Marmaris Büfe,5113126711
restoran,Big Mammas,5113127734
restoran,Durak Pide ve Börek,5113127739
restoran,Hafızoğulları Lokantası,5113127740
restoran,Zafer Büfe,5113127745
restoran,Öz karadeniz pide salonu,5113469916
restoran,Samsat Cigkofte,5113470955
restoran,Çiğköfte Durağı,5113470971
restoran,Mevlanakapı Merkez Efendi Köftecisi,5113470975
restoran,Meşhur Çiğbörek,5113470986
restoran,Abalı Quesillas Mexican Restaurant,5113470996
restoran,Ham Ham Tost Döner Kahvaltı Evi,5113470997
restoran,Şahin Kardeşler 1 Börek Salonu,5113472207
restoran,Renk Kasabı Et Evi,5113473736
restoran,Acıktım Kardeşler Pide Lahmacun Şehremini,5113473738
restoran,Kısmet 2 Börek Salonu,5113473747
restoran,Fatih alhayr,5113480872
restoran,Sevecen ev yemekleri,5113480880
restoran,Pilavci reşat,5113480883
restoran,Al jenani,5113480889
restoran,Taç mahal,5113480890
restoran,Hacielaziz çiğköfte,5113481327
restoran,Bab alhara,5113481333
restoran,Akçaabat köfte,5113481348
restoran,Yarimada,5113481360
restoran,Çarşamba kebap,5113481370
restoran,Karadeniz pide,5113481388
restoran,Marmara burger,5113481392
restoran,Fatih esnaflar lokantası,5113483402
restoran,Alraii,5113483405
restoran,Şam günleri,5113483413
restoran,Nihavent,5113483623
restoran,Sefa,5113483624
restoran,Dede sultan,5113483630
restoran,Öz antakya,5113483634
restoran,Küçük sait,5113483679
restoran,Sahara saray,5113486732
restoran,Durak rumeli köfte,5113486738
restoran,Sebil lokantası,5113486740
restoran,Semsür,5113486741
restoran,Aksaray Sucuk,5113486755
restoran,Osmanlı bufe,5113486773
restoran,Ali pilav,5113486778
restoran,Yıldız saray,5113486779
restoran,Pehlivan,5113486781
restoran,Serdal Büfe,5113487684
restoran,Hacı elaziz,5113487686
restoran,Semsur çiğköfte,5113487692
restoran,Yıldız pide,5113487696
restoran,Abo eymen,5113495701
restoran,Loluet elşam,5113495711
restoran,Alnur,5113495717
restoran,Berrak Büfe,5113495963
restoran,Paşa döner,5113500728
restoran,Döner istanbul,5113500732
restoran,Ali usta,5113500751
restoran,Hacıoğlu,5113500764
restoran,Kömür turk mutfağı,5113500768
restoran,Kiler Et,5113500792
restoran,Aziz oğulları börek salonu,5113557342
restoran,Sahtin,5113557344
restoran,Dürümcü,5113557345
restoran,Yüksel Uygur,5113557362
restoran,Tarbuş,5113557367
restoran,Mavi Bufe,5113557369
restoran,Beit alezz,5113557370
restoran,Mandy hadramut,5113557373
restoran,Tarihi Eyüp Sultan,5113557376
restoran,Nuri Usta,5113557379
restoran,Duru,5113590293
restoran,Eda Büfe,5113590304
restoran,General Sofrası,5113590319
restoran,Hanim eli,5113592131
restoran,MARMARA DURUM,5113592137
restoran,Rey Döner,5113592138
restoran,PIZZA VERDE,5113592140
restoran,SARI HAN TIME,5113592152
restoran,GIRNE,5113592154
restoran,Fetih Börek & Pide,5113592158
restoran,EVRIM EXTRA BUFE,5113592163
restoran,PIZZALINA,5113592164
restoran,EMİRHAN,5113592170
restoran,Asmalı konağı,5113592203
restoran,Pilavci ismail usta,5113592209
restoran,İzgara Evi,5113592212
restoran,Döner Sadık Usta,5113594823
restoran,Şifa döner,5113594824
restoran,Şark Büfe,5113598486
restoran,Abo şemso,5113598487
restoran,özbey bufe,5113598495
restoran,Hakiki hatay urunleri,5113599475
restoran,Asli bufe,5113599482
restoran,Borek&pide&doner&cafe,5113599484
restoran,Sultan Balık,5113599500
restoran,MIX,5113599502
restoran,Furkan Döner,5113599507
restoran,Haseki Ev Yemekleri,5113599512
restoran,Adıvar Cafeteria,5113599517
restoran,Martun 2,5113599724
restoran,Gökhan Büfe,5113599728
restoran,Tüğba Kafeterya,5113599729
restoran,Burgercan,5113599735
restoran,Can büfe,5113599737
restoran,Hacıelaziz çiğkofte,5113609485
restoran,Babacan,5113609489
restoran,İsot lahmacun,5113609492
restoran,Lizzethan çiğkofte,5113609495
